2045,-9.140605190959818,38.714618031249913,Santa Maria Maior,Praça Dom João da Câmara,1066,Projecto Académico Pessoas Comuns,Filmagem,,,28/03/2017,28/03/2017,9a07276d-017d-413c-a04b-e5d29a8416e4,27/03/2017
2047,-9.194926407818695,38.695462118833461,Belém,Avenida de Brasília,788,Projecto Essemble,Filmagem,,,06/02/2017,06/02/2017,b88ddce8-90f4-42bd-aed7-e0a611058e1e,06/02/2017
2048,-9.198321931794814,38.697945158171287,Belém,Rua Embaixador,788,Projecto Essemble,Filmagem,,,05/02/2017,05/02/2017,511c9514-6018-4e21-9643-95362a4c74bd,06/02/2017
2049,-9.124403757705412,38.750297599293809,Marvila,Avenida Dr. Arlindo Vicente,789,Corta Mato de Desporto Escolar - DREL-VT,Desportivo,320,,21/02/2017,21/02/2017,c8ff8a00-2508-4579-bd41-f0744b3d4da1,02/02/2017
2051,-9.129937117547536,38.717014792671328,São Vicente,Largo da Graça,795,Série Telivisiva Frágil,Filmagem,,,04/02/2017,04/02/2017,4beb9847-606c-4cb4-94f2-ffa2a80ead7d,02/02/2017
2056,-9.213536898984591,38.693334932443555,Belém,Avenida de Brasília,863,Filmagens - OSTIN,Filmagem,,,20/02/2017,21/02/2017,c074cf85-0f52-48fe-9030-601e8cc4f93c,20/02/2017
2058,-9.14407494991441,38.707688383208271,Misericórdia,Rua de São Paulo,881,ECI Primavera,Institucional,,,23/02/2017,26/02/2017,437b2812-bda2-4897-b6a2-c04eb58b0383,24/02/2017
2059,-9.144174380839939,38.707084221321956,Misericórdia, Rua dos Remolares,881,ECI Primavera,Filmagem,,,23/02/2017,26/02/2017,244d9ecc-ca60-4e34-bf11-59e2ac6b05fb,24/02/2017
2060,-9.098021640979322,38.743918831889985,Marvila,Rua da Cintura do Porto de Lisboa,755,Série Telivisiva Criminal,Institucional/Social,,,27/01/2017,27/01/2017,c6b276c8-9bac-4082-98e2-2eb8df37396f,27/01/2017
2073,-9.107470949384355,38.730720440655197,Beato,Rua do Grilo,760,Série Televisiva Madre Paula,Filmagem,,,27/01/2017,31/01/2017,5c637ad0-7bc5-4145-8776-ff90b72af43a,26/01/2017
2079,-9.112562713602486,38.734575427490768,Beato,Rua D. Tomás de Melo Breyner,765,Filme Publicitário para canal Telivisivo National Geographic,Filmagem,,,31/01/2017,04/02/2017,20c061a8-c7dd-42ad-838a-4f65279ee88b,01/02/2017
2081,-9.146160034011958,38.707726577029881,Misericórdia,Travessa do Carvalho,766,Novela Golpe do Destino,Filmagem,,,30/01/2017,01/02/2017,71c381e9-95fb-4087-b260-b946a151aaec,30/01/2017
2082,-9.096513089342904,38.757004439204358,Parque das Nações,Alameda dos Oceanos,766,Novela Golpe do Destino,Filmagem,,,03/02/2017,03/02/2017,1557456e-e195-4557-b140-abdb6eb9b072,30/01/2017
2086,-9.139594005953525,38.71315292342144,Santa Maria Maior,Praça D. Pedro IV,1078,Ler em Todo o Lado 2017 - Semana dos Livreiros,Cultural,,,01/04/2017,30/04/2017,1a6da0d0-186b-49ff-b6f8-8124268740f7,30/03/2017
2088,-9.150134191608689,38.726704346133964,Avenidas Novas,Parque Eduardo VII de Inglaterra,836,Lisbon Eco Maraton,Desportivo,7500,,21/05/2017,21/05/2017,acb9b5fc-5f95-48a6-bd25-381fa307f291,19/05/2017
2089,-9.202003609613142,38.739870407965029,Benfica,Rotunda de Pina Manique,836,Lisboa Eco Maraton,Desportivo,,,21/05/2017,21/05/2017,243378b2-8555-46cc-9313-8c68dd17fd53,19/05/2017
2090,-9.143201666185677,38.707665635144906,Misericórdia,Rua do Ferragial,1083,Heineken,Filmagem,,,05/04/2017,08/04/2017,f2862975-9867-4730-98b4-9ed1d89bb2b4,03/04/2017
2091,-9.143411921369488,38.707989815569832,Misericórdia,Rua do Alecrim,1083,Heineken,Filmagem,,,04/04/2017,05/04/2017,9e434cca-3c74-462a-8489-b51f66c2698e,03/04/2017
2092,-9.143745791922953,38.708008497764688,Misericórdia,Rua das Flores,1083,Heineken,Filmagem,,,07/04/2017,08/04/2017,8a44fc3b-bc82-4176-babc-2e332f491ef5,03/04/2017
2093,-9.131524323873579,38.736874949748461,Arroios,Alameda Dom Afonso Henriques,1084,Gravação Novela - Amor Maior,Filmagem,,,02/04/2017,03/04/2017,4ece6f8b-f798-4bfa-a5d8-914adad6c515,31/03/2017
2097,-9.108516403322154,38.72770881176006,Beato,Avenida Infante Dom Henrique,1088,McDonald´s,Filmagem,,,07/04/2017,08/04/2017,16c1a4ec-ffc5-4400-b744-0d7f4efd7692,10/04/2017
2099,-9.140506422092649,38.74130288937566,Areeiro,Rua Brito Aranha,881,ECI Primavera,Filmagem,,,23/02/2017,26/02/2017,15ee29b7-cc4c-4de1-8211-c166257af070,24/02/2017
2102,-9.098009207397462,38.765840877143795,Parque das Nações,Avenida D. João II,882,Campanha Publicitária-Wells,Filmagem,,,24/02/2017,26/02/2017,4ce64e4e-aab6-462d-a25a-123e58ea2610,23/02/2017
2103,-9.097038633428518,38.764622217489872,Parque das Nações,Rua do Pólo Sul,882,Campanha Publicitária-Wells,Filmagem,,,24/02/2017,26/02/2017,a00dbc97-65d1-4939-88c2-ec022285925f,23/02/2017
2104,-9.133385853229523,38.736820875164312,Arroios,Alameda Dom Afonso Henriques,884,Série Documental História a História África,Filmagem,,,04/03/2017,04/03/2017,36d08303-355f-442a-8b4e-7069d9e60ecc,01/03/2017
2105,-9.130454312690892,38.735312408931271,Penha de França,Rua Actor Vale,884,Série Documental História a História África,Filmagem,,,04/03/2017,04/03/2017,f229f8eb-96ce-48df-ad7b-66a2c4ff0eda,01/03/2017
2108,-9.151634489524241,38.73183434791639,Avenidas Novas,Avenida António Augusto de Aguiar,885,Filmagens de anúncio para a marca Volkswagen,Filmagem,,,03/03/2017,05/03/2017,ab8419c2-2d2b-4bba-af0b-3a5cd01a96a2,02/03/2017
2110,-9.098406793657389,38.76424188180129,Parque das Nações,Avenida D. João II,911,Filmagem Aldi,Filmagem,,,05/03/2017,05/03/2017,24b441b5-2733-4647-af58-8882368e2206,03/03/2017
2113,-9.133665176282303,38.754710569790511,Alvalade,Avenida Dom Rodrigo da Cunha,1117,Gravações Novela Ouro Verde,Filmagem,,,03/04/2017,04/04/2017,4e80f589-5a04-4d3b-9db5-2676f2ce7676,03/04/2017
2114,-9.141993842658609,38.710272473616506,Santa Maria Maior,Rua Paiva de Andrada,1118,Campanha WTF 2017,Publicitário,,,03/04/2017,29/04/2017,6b74953e-982f-421b-a618-407a66755000,10/04/2017
2118,-9.138137723690217,38.711789822541334,Santa Maria Maior,Rua Augusta,1104,Festas Juninas - Mostra Brasil,Divertimento/Espetáculo,,10,09/04/2017,15/04/2017,79da9808-4609-4832-9cbb-e9c6fe8ab365,07/04/2017
2119,-9.148163520538994,38.709802525822084,Misericórdia,Rua de Santa Catarina,1132,Loreal,Filmagem,,,10/04/2017,11/04/2017,e0f65039-d769-41c1-9601-f88c79a70e3a,07/04/2017
2121,-9.146254803579483,38.714208701419651,Misericórdia,Calçada do Tijolo,1136,Longa Metragem- Frágil,Filmagem,,,12/04/2017,15/04/2017,dbe8690c-1b39-4eff-8893-14b9ccad7160,10/04/2017
